YGP;Gaspé (Michel-Pouliot) Airport;Gaspe;Canada
YGR;Îles-de-la-Madeleine Airport;Iles De La Madeleine;Canada
YHD;Dryden Regional Airport;Dryden;Canada
YHI;Ulukhaktok Holman Airport;Holman Island;Canada
YHK;Gjoa Haven Airport;Gjoa Haven;Canada
YHM;John C. Munro Hamilton International Airport;Hamilton;Canada
YHU;Montréal / Saint-Hubert Airport;Montreal;Canada
YHY;Hay River / Merlyn Carter Airport;Hay River;Canada
YHZ;Halifax / Stanfield International Airport;Halifax;Canada
YIO;Pond Inlet Airport;Pond Inlet;Canada
YJT;Stephenville Airport;Stephenville;Canada
YKA;Kamloops Airport;Kamloops;Canada
YKF;Waterloo Airport;Waterloo;Canada
YKL;Schefferville Airport;Schefferville;Canada
YLL;Lloydminster Airport;Lloydminster;Canada
YLW;Kelowna International Airport;Kelowna;Canada
YMM;Fort McMurray Airport;Fort Mcmurray;Canada
YMO;Moosonee Airport;Moosonee;Canada
YNA;Natashquan Airport;Natashquan;Canada
YOJ;High Level Airport;High Level;Canada
YOW;Ottawa Macdonald-Cartier International Airport;Ottawa;Canada
YPL;Pickle Lake Airport;Pickle Lake;Canada
YPN;Port Menier Airport;Port Menier;Canada
YPR;Prince Rupert Airport;Prince Pupert;Canada
YPY;Fort Chipewyan Airport;Fort Chipewyan;Canada
YQB;Quebec Jean Lesage International Airport;Quebec;Canada
YQF;Red Deer Regional Airport;Red Deer Industrial;Canada
YQG;Windsor Airport;Windsor;Canada
YQK;Kenora Airport;Kenora;Canada
YQL;Lethbridge County Airport;Lethbridge;Canada
YQM;Greater Moncton International Airport;Moncton;Canada
YQQ;Comox Airport;Comox;Canada
YQR;Regina International Airport;Regina;Canada
YQT;Thunder Bay Airport;Thunder Bay;Canada
YQU;Grande Prairie Airport;Grande Prairie;Canada
YQX;Gander International Airport;Gander;Canada
YQY;Sydney / J.A. Douglas McCurdy Airport;Sydney;Canada
YQZ;Quesnel Airport;Quesnel;Canada
YRB;Resolute Bay Airport;Resolute;Canada
YRT;Rankin Inlet Airport;Rankin Inlet;Canada
YSB;Sudbury Airport;Sudbury;Canada
YSJ;Saint John Airport;St. John;Canada
YSM;Fort Smith Airport;Fort Smith;Canada
YSY;Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport;Sachs Harbour;Canada
YTE;Cape Dorset Airport;Cape Dorset;Canada
YTH;Thompson Airport;Thompson;Canada
YTS;Timmins/Victor M. Power;Timmins;Canada
YTZ;Billy Bishop Toronto City Centre Airport;Toronto;Canada
YUB;Tuktoyaktuk Airport;Tuktoyaktuk;Canada
YUL;Montreal / Pierre Elliott Trudeau International Airport;Montreal;Canada
YUT;Repulse Bay Airport;Repulse Bay;Canada
YUX;Hall Beach Airport;Hall Beach;Canada
YUY;Rouyn Noranda Airport;Rouyn;Canada
YVM;Qikiqtarjuaq Airport;Broughton Island;Canada
YVO;Val-d'Or Airport;Val D'or;Canada
YVP;Kuujjuaq Airport;Quujjuaq;Canada
YVQ;Norman Wells Airport;Norman Wells;Canada
YVR;Vancouver International Airport;Vancouver;Canada
YWG;Winnipeg / James Armstrong Richardson International Airport;Winnipeg;Canada
YWK;Wabush Airport;Wabush;Canada
YWL;Williams Lake Airport;Williams Lake;Canada
YXC;Cranbrook/Canadian Rockies International Airport;Cranbrook;Canada
YXE;Saskatoon John G. Diefenbaker International Airport;Saskatoon;Canada
YXH;Medicine Hat Airport;Medicine Hat;Canada
YXJ;Fort St John Airport;Fort Saint John;Canada
YXL;Sioux Lookout Airport;Sioux Lookout;Canada
YXP;Pangnirtung Airport;Pangnirtung;Canada
YXS;Prince George Airport;Prince George;Canada
YXT;Northwest Regional Airport Terrace-Kitimat;Terrace;Canada
YXU;London Airport;London;Canada
YXX;Abbotsford Airport;Abbotsford;Canada
YXY;Whitehorse / Erik Nielsen International Airport;Whitehorse;Canada
YYB;North Bay Airport;North Bay;Canada
YYC;Calgary International Airport;Calgary;Canada
YYD;Smithers Airport;Smithers;Canada
YYE;Fort Nelson Airport;Fort Nelson;Canada
YYF;Penticton Airport;Penticton;Canada
YYG;Charlottetown Airport;Charlottetown;Canada
YYH;Taloyoak Airport;Spence Bay;Canada
YYJ;Victoria International Airport;Victoria;Canada
YYQ;Churchill Airport;Churchill;Canada
YYR;Goose Bay Airport;Goose Bay;Canada
YYT;St. John's International Airport;St. John's;Canada
YYU;Kapuskasing Airport;Kapuskasing;Canada
YYY;Mont Joli Airport;Mont Joli;Canada
YYZ;Lester B. Pearson International Airport;Toronto;Canada
YZF;Yellowknife Airport;Yellowknife;Canada
YZP;Sandspit Airport;Sandspit;Canada
YZR;Chris Hadfield Airport;Sarnia;Canada
YZT;Port Hardy Airport;Port Hardy;Canada
YZV;Sept-Îles Airport;Sept-iles;Canada
ZFM;Fort Mcpherson Airport;Fort Mcpherson;Canada
BJA;Soummam Airport;Bejaja;Algeria
ALG;Houari Boumediene Airport;Algier;Algeria
DJG;Djanet Inedbirene Airport;Djanet;Algeria
TMR;Aguenar – Hadj Bey Akhamok Airport;Tamanrasset;Algeria
AAE;Annaba Airport;Annaba;Algeria
CZL;Mohamed Boudiaf International Airport;Constantine;Algeria
TEE;Cheikh Larbi Tébessi Airport;Tebessa;Algeria
HRM;Hassi R'Mel Airport;Tilrempt;Algeria
TID;Bou Chekif Airport;Tiaret;Algeria
TLM;Zenata – Messali El Hadj Airport;Tlemcen;Algeria
ORN;Es Senia Airport;Oran;Algeria
MUW;Ghriss Airport;Ghriss;Algeria
AZR;Touat Cheikh Sidi Mohamed Belkebir Airport;Adrar;Algeria
BSK;Biskra Airport;Biskra;Algeria
ELG;El Golea Airport;El Golea;Algeria
GHA;Noumérat - Moufdi Zakaria Airport;Ghardaia;Algeria
HME;Oued Irara Airport;Hassi Messaoud;Algeria
INZ;In Salah Airport;In Salah;Algeria
TGR;Touggourt Sidi Madhi Airport;Touggourt;Algeria
OGX;Ain el Beida Airport;Ouargla;Algeria
IAM;In Aménas Airport;Zarzaitine;Algeria
COO;Cadjehoun Airport;Cotonou;Benin
OUA;Ouagadougou Airport;Ouagadougou;Burkina Faso
BOY;Bobo Dioulasso Airport;Bobo-dioulasso;Burkina Faso
ACC;Kotoka International Airport;Accra;Ghana
TML;Tamale Airport;Tamale;Ghana
NYI;Sunyani Airport;Sunyani;Ghana
TKD;Takoradi Airport;Takoradi;Ghana
ABJ;Port Bouet Airport;Abidjan;Cote d'Ivoire
ABV;Nnamdi Azikiwe International Airport;Abuja;Nigeria
BNI;Benin Airport;Benin;Nigeria
CBQ;Margaret Ekpo International Airport;Calabar;Nigeria
ENU;Akanu Ibiam International Airport;Enugu;Nigeria
IBA;Ibadan Airport;Ibadan;Nigeria
ILR;Ilorin International Airport;Ilorin;Nigeria
JOS;Yakubu Gowon Airport;Jos;Nigeria
KAD;Kaduna Airport;Kaduna;Nigeria
KAN;Mallam Aminu International Airport;Kano;Nigeria
LOS;Murtala Muhammed International Airport;Lagos;Nigeria
PHC;Port Harcourt International Airport;Port Hartcourt;Nigeria
SKO;Sadiq Abubakar III International Airport;Sokoto;Nigeria
YOL;Yola Airport;Yola;Nigeria
NIM;Diori Hamani International Airport;Niamey;Niger
MIR;Monastir Habib Bourguiba International Airport;Monastir;Tunisia
TUN;Tunis Carthage International Airport;Tunis;Tunisia
GAF;Gafsa Ksar International Airport;Gafsa;Tunisia
GAE;Gabès Matmata International Airport;Gabes;Tunisia
DJE;Djerba Zarzis International Airport;Djerba;Tunisia
SFA;Sfax Thyna International Airport;Sfax;Tunisia
TOE;Tozeur Nefta International Airport;Tozeur;Tunisia
LFW;Lomé-Tokoin Airport;Lome;Togo
ANR;Antwerp International Airport (Deurne);Antwerp;Belgium
BRU;Brussels Airport;Brussels;Belgium
CRL;Brussels South Charleroi Airport;Charleroi;Belgium
LGG;Liège Airport;Liege;Belgium
OST;Ostend-Bruges International Airport;Ostend;Belgium
SXF;Berlin-Schönefeld International Airport;Berlin;Germany
DRS;Dresden Airport;Dresden;Germany
ERF;Erfurt Airport;Erfurt;Germany
FRA;Frankfurt am Main International Airport;Frankfurt;Germany
FMO;Münster Osnabrück Airport;Munster;Germany
HAM;Hamburg Airport;Hamburg;Germany
CGN;Cologne Bonn Airport;Cologne;Germany
DUS;Düsseldorf International Airport;Duesseldorf;Germany
MUC;Munich International Airport;Munich;Germany
NUE;Nuremberg Airport;Nuernberg;Germany
LEJ;Leipzig Halle Airport;Leipzig;Germany
SCN;Saarbrücken Airport;Saarbruecken;Germany
STR;Stuttgart Airport;Stuttgart;Germany
TXL;Berlin-Tegel International Airport;Berlin;Germany
HAJ;Hannover Airport;Hannover;Germany
BRE;Bremen Airport;Bremen;Germany
HHN;Frankfurt-Hahn Airport;Hahn;Germany
MHG;Mannheim-City Airport;Mannheim;Germany
XFW;Hamburg-Finkenwerder Airport;Hamburg;Germany
LBC;Lübeck Blankensee Airport;Luebeck;Germany
PAD;Paderborn Lippstadt Airport;Paderborn;Germany
DTM;Dortmund Airport;Dortmund;Germany
AGB;Augsburg Airport;Augsburg;Germany
FDH;Friedrichshafen Airport;Friedrichshafen;Germany
ZQW;Zweibrücken Airport;Zweibruecken;Germany
KSF;Kassel-Calden Airport;Kassel;Germany
GWT;Westerland Sylt Airport;Westerland;Germany
URE;Kuressaare Airport;Kuressaare;Estonia
TLL;Lennart Meri Tallinn Airport;Tallinn-ulemiste International;Estonia
TAY;Tartu Airport;Tartu;Estonia
HEL;Helsinki Vantaa Airport;Helsinki;Finland
IVL;Ivalo Airport;Ivalo;Finland
JOE;Joensuu Airport;Joensuu;Finland
JYV;Jyvaskyla Airport;Jyvaskyla;Finland
KEM;Kemi-Tornio Airport;Kemi;Finland
KAJ;Kajaani Airport;Kajaani;Finland
KOK;Kokkola-Pietarsaari Airport;Kruunupyy;Finland
KAO;Kuusamo Airport;Kuusamo;Finland
KTT;Kittilä Airport;Kittila;Finland
KUO;Kuopio Airport;Kuopio;Finland
LPP;Lappeenranta Airport;Lappeenranta;Finland
MHQ;Mariehamn Airport;Mariehamn;Finland
OUL;Oulu Airport;Oulu;Finland
POR;Pori Airport;Pori;Finland
RVN;Rovaniemi Airport;Rovaniemi;Finland
SVL;Savonlinna Airport;Savonlinna;Finland
TMP;Tampere-Pirkkala Airport;Tampere;Finland
TKU;Turku Airport;Turku;Finland
VAA;Vaasa Airport;Vaasa;Finland
BFS;Belfast International Airport;Belfast;United Kingdom
BHD;George Best Belfast City Airport;Belfast;United Kingdom
LDY;City of Derry Airport;Londonderry;United Kingdom
BHX;Birmingham International Airport;Birmingham;United Kingdom
GLO;Gloucestershire Airport;Golouchestershire;United Kingdom
MAN;Manchester Airport;Manchester;United Kingdom
NQY;Newquay Cornwall Airport;Newquai;United Kingdom
CWL;Cardiff International Airport;Cardiff;United Kingdom
BRS;Bristol Airport;Bristol;United Kingdom
LPL;Liverpool John Lennon Airport;Liverpool;United Kingdom
LTN;London Luton Airport;London;United Kingdom
BOH;Bournemouth Airport;Bournemouth;United Kingdom
SOU;Southampton Airport;Southampton;United Kingdom
ACI;Alderney Airport;Alderney;Guernsey
GCI;Guernsey Airport;Guernsey;Guernsey
JER;Jersey Airport;Jersey;Jersey
LGW;London Gatwick Airport;London;United Kingdom
LCY;London City Airport;London;United Kingdom
LHR;London Heathrow Airport;London;United Kingdom
SEN;Southend Airport;Southend;United Kingdom
BLK;Blackpool International Airport;Blackpool;United Kingdom
HUY;Humberside Airport;Humberside;United Kingdom
LBA;Leeds Bradford Airport;Leeds;United Kingdom
CEG;Hawarden Airport;Hawarden;United Kingdom
IOM;Isle of Man Airport;Isle Of Man;Isle of Man
NCL;Newcastle Airport;Newcastle;United Kingdom
MME;Durham Tees Valley Airport;Teesside;United Kingdom
EMA;East Midlands Airport;East Midlands;United Kingdom
KOI;Kirkwall Airport;Kirkwall;United Kingdom
LSI;Sumburgh Airport;Sumburgh;United Kingdom
WIC;Wick Airport;Wick;United Kingdom
ABZ;Aberdeen Dyce Airport;Aberdeen;United Kingdom
INV;Inverness Airport;Inverness;United Kingdom
GLA;Glasgow International Airport;Glasgow;United Kingdom
EDI;Edinburgh Airport;Edinburgh;United Kingdom
ILY;Islay Airport;Islay;United Kingdom
PIK;Glasgow Prestwick Airport;Prestwick;United Kingdom
BEB;Benbecula Airport;Benbecula;United Kingdom
DND;Dundee Airport;Dundee;United Kingdom
SYY;Stornoway Airport;Stornoway;United Kingdom
TRE;Tiree Airport;Tiree;United Kingdom
NWI;Norwich International Airport;Norwich;United Kingdom
STN;London Stansted Airport;London;United Kingdom
EXT;Exeter International Airport;Exeter;United Kingdom
MPN;Mount Pleasant Airport;Mount Pleasant;Falkland Islands
AMS;Amsterdam Airport Schiphol;Amsterdam;Netherlands
MST;Maastricht Aachen Airport;Maastricht;Netherlands
EIN;Eindhoven Airport;Eindhoven;Netherlands
GRQ;Eelde Airport;Groningen;Netherlands
RTM;Rotterdam The Hague Airport;Rotterdam;Netherlands
ORK;Cork Airport;Cork;Ireland
DUB;Dublin Airport;Dublin;Ireland
NOC;Ireland West Knock Airport;Connaught;Ireland
KIR;Kerry Airport;Kerry;Ireland
SNN;Shannon Airport;Shannon;Ireland
WAT;Waterford Airport;Waterford;Ireland
AAR;Aarhus Airport;Aarhus;Denmark
BLL;Billund Airport;Billund;Denmark
CPH;Copenhagen Kastrup Airport;Copenhagen;Denmark
EBJ;Esbjerg Airport;Esbjerg;Denmark
KRP;Karup Airport;Karup;Denmark
RNN;Bornholm Airport;Ronne;Denmark
SGD;Sønderborg Airport;Soenderborg;Denmark
FAE;Vagar Airport;Vagar;Faroe Islands
AAL;Aalborg Airport;Aalborg;Denmark
LUX;Luxembourg-Findel International Airport;Luxemburg;Luxembourg
AES;Ålesund Airport;Alesund;Norway
ANX;Andøya Airport;Andoya;Norway
ALF;Alta Airport;Alta;Norway
BNN;Brønnøysund Airport;Bronnoysund;Norway
BOO;Bodø Airport;Bodo;Norway
BGO;Bergen Airport Flesland;Bergen;Norway
BJF;Båtsfjord Airport;Batsfjord;Norway
KRS;Kristiansand Airport;Kristiansand;Norway
BDU;Bardufoss Airport;Bardufoss;Norway
EVE;Harstad/Narvik Airport, Evenes;Harstad/Narvik;Norway
VDB;Leirin Airport;Fagernes;Norway
FRO;Florø Airport;Floro;Norway
OSL;Oslo Gardermoen Airport;Oslo;Norway
HAU;Haugesund Airport;Haugesund;Norway
HAA;Hasvik Airport;Hasvik;Norway
KSU;Kristiansund Airport (Kvernberget);Kristiansund;Norway
KKN;Kirkenes Airport (Høybuktmoen);Kirkenes;Norway
MOL;Molde Airport;Molde;Norway
MJF;Mosjøen Airport (Kjærstad);Mosjoen;Norway
LKL;Banak Airport;Lakselv;Norway
OLA;Ørland Airport;Orland;Norway
RRS;Røros Airport;Roros;Norway
RYG;Moss-Rygge Airport;Rygge;Norway
LYR;Svalbard Airport, Longyear;Svalbard;Norway
SKE;Skien Airport;Skien;Norway
SRP;Stord Airport;Stord;Norway
SSJ;Sandnessjøen Airport (Stokka);Sandnessjoen;Norway
TOS;Tromsø Airport;Tromso;Norway
TRF;Sandefjord Airport, Torp;Sandefjord;Norway
TRD;Trondheim Airport Værnes;Trondheim;Norway
SVG;Stavanger Airport Sola;Stavanger;Norway
GDN;Gdańsk Lech Wałęsa Airport;Gdansk;Poland
KRK;John Paul II International Airport Kraków-Balice Airport;Krakow;Poland
KTW;Katowice International Airport;Katowice;Poland
POZ;Poznań-Ławica Airport;Poznan;Poland
RZE;Rzeszów-Jasionka Airport;Rzeszow;Poland
SZZ;"Szczecin-Goleniów \Solidarność\"" Airport""";Szczecin;Poland
WAW;Warsaw Chopin Airport;Warsaw;Poland
WRO;Copernicus Wrocław Airport;Wroclaw;Poland
RNB;Ronneby Airport;Ronneby;Sweden
GOT;Gothenburg-Landvetter Airport;Gothenborg;Sweden
JKG;Jönköping Airport;Joenkoeping;Sweden
GSE;Gothenburg City Airport;Gothenborg;Sweden
THN;Trollhättan-Vänersborg Airport;Trollhattan;Sweden
MXX;Mora Airport;Mora;Sweden
NYO;Stockholm Skavsta Airport;Stockholm;Sweden
KID;Kristianstad Airport;Kristianstad;Sweden
KLR;Kalmar Airport;Kalkmar;Sweden
MMX;Malmö Sturup Airport;Malmoe;Sweden
HAD;Halmstad Airport;Halmstad;Sweden
VXO;Växjö Kronoberg Airport;Vaxjo;Sweden
EVG;Sveg Airport;Sveg;Sweden
GEV;Gällivare Airport;Gallivare;Sweden
KRF;Kramfors Sollefteå Airport;Kramfors;Sweden
LYC;Lycksele Airport;Lycksele;Sweden
SDL;Sundsvall-Härnösand Airport;Sundsvall;Sweden
OER;Örnsköldsvik Airport;Ornskoldsvik;Sweden
KRN;Kiruna Airport;Kiruna;Sweden
SFT;Skellefteå Airport;Skelleftea;Sweden
UME;Umeå Airport;Umea;Sweden
VHM;Vilhelmina Airport;Vilhelmina;Sweden
AJR;Arvidsjaur Airport;Arvidsjaur;Sweden
ORB;Örebro Airport;Orebro;Sweden
VST;Stockholm Västerås Airport;Vasteras;Sweden
LLA;Luleå Airport;Lulea;Sweden
ARN;Stockholm-Arlanda Airport;Stockholm;Sweden
BMA;Stockholm-Bromma Airport;Stockholm;Sweden
BLE;Borlange Airport;Borlange;Sweden
LPI;Linköping City Airport;Linkoeping;Sweden
NRK;Norrköping Airport;Norrkoeping;Sweden
VBY;Visby Airport;Visby;Sweden
RLG;Rostock-Laage Airport;Laage;Germany
BFN;Bram Fischer International Airport;Bloemfontein;South Africa
CPT;Cape Town International Airport;Cape Town;South Africa
DUR;King Shaka International Airport;Durban;South Africa
ELS;Ben Schoeman Airport;East London;South Africa
GRJ;George Airport;George;South Africa
HDS;Hoedspruit Air Force Base Airport;Hoedspruit;South Africa
JNB;OR Tambo International Airport;Johannesburg;South Africa
KIM;Kimberley Airport;Kimberley;South Africa
HLA;Lanseria Airport;Johannesburg;South Africa
MGH;Margate Airport;Margate;South Africa
PLZ;Port Elizabeth Airport;Port Elizabeth;South Africa
PHW;Hendrik Van Eck Airport;Phalaborwa;South Africa
PZB;Pietermaritzburg Airport;Pietermaritzburg;South Africa
PTG;Polokwane International Airport;Potgietersrus;South Africa
RCB;Richards Bay Airport;Richard's Bay;South Africa
UTN;Pierre Van Ryneveld Airport;Upington;South Africa
UTT;K. D. Matanzima Airport;Umtata;South Africa
FRW;Francistown Airport;Francistown;Botswana
BBK;Kasane Airport;Kasane;Botswana
MUB;Maun Airport;Maun;Botswana
GBE;Sir Seretse Khama International Airport;Gaberone;Botswana
BZV;Maya-Maya Airport;Brazzaville;Congo (Brazzaville)
PNR;Pointe Noire Airport;Pointe-noire;Congo (Brazzaville)
MTS;Matsapha Airport;Manzini;Swaziland
BGF;Bangui M'Poko International Airport;Bangui;Central African Republic
BSG;Bata Airport;Bata;Equatorial Guinea
SSG;Malabo Airport;Malabo;Equatorial Guinea
MRU;Sir Seewoosagur Ramgoolam International Airport;Plaisance;Mauritius
RRG;Sir Charles Gaetan Duval Airport;Rodriguez Island;Mauritius
DLA;Douala International Airport;Douala;Cameroon
MVR;Salak Airport;Maroua;Cameroon
NGE;N'Gaoundéré Airport;N'gaoundere;Cameroon
GOU;Garoua International Airport;Garoua;Cameroon
LVI;Livingstone Airport;Livingstone;Zambia
LUN;Kenneth Kaunda International Airport Lusaka;Lusaka;Zambia
MFU;Mfuwe Airport;Mfuwe;Zambia
NLA;Simon Mwansa Kapwepwe International Airport;Ndola;Zambia
HAH;Prince Said Ibrahim International Airport;Moroni;Comoros
DZA;Dzaoudzi Pamandzi International Airport;Dzaoudzi;Mayotte
RUN;Roland Garros Airport;St.-denis;Reunion
ZSE;Pierrefonds Airport;St.-pierre;Reunion
TNR;Ivato Airport;Antananarivo;Madagascar
SMS;Sainte Marie Airport;Sainte Marie;Madagascar
TMM;Toamasina Airport;Toamasina;Madagascar
MOQ;Morondava Airport;Morondava;Madagascar
DIE;Arrachart Airport;Antsiranana;Madagascar
WMR;Mananara Nord Airport;Mananara;Madagascar
ANM;Antsirabato Airport;Antalaha;Madagascar
MJN;Amborovy Airport;Mahajanga;Madagascar
NOS;Fascene Airport;Nosy-be;Madagascar
WMN;Maroantsetra Airport;Maroantsetra;Madagascar
SVB;Sambava Airport;Sambava;Madagascar
FTU;Tôlanaro Airport;Tolagnaro;Madagascar
TLE;Toliara Airport;Toliara;Madagascar
SSY;Mbanza Congo Airport;M'banza-congo;Angola
CAB;Cabinda Airport;Cabinda;Angola
NOV;Nova Lisboa Airport;Huambo;Angola
SVP;Kuito Airport;Kuito;Angola
LAD;Quatro de Fevereiro Airport;Luanda;Angola
MEG;Malanje Airport;Malanje;Angola
SPP;Menongue Airport;Menongue;Angola
VHC;Saurimo Airport;Saurimo;Angola
SZA;Soyo Airport;Soyo;Angola
SDD;Lubango Airport;Lubango;Angola
LUO;Luena Airport;Luena;Angola
POG;Port Gentil Airport;Port Gentil;Gabon
LBV;Libreville Leon M'ba International Airport;Libreville;Gabon
TMS;São Tomé International Airport;Sao Tome;Sao Tome and Principe
BEW;Beira Airport;Beira;Mozambique
INH;Inhambane Airport;Inhambane;Mozambique
VXC;Lichinga Airport;Lichinga;Mozambique
MPM;Maputo Airport;Maputo;Mozambique
APL;Nampula Airport;Nampula;Mozambique
POL;Pemba Airport;Pemba;Mozambique
UEL;Quelimane Airport;Quelimane;Mozambique
TET;Chingozi Airport;Tete;Mozambique
VNX;Vilankulo Airport;Vilankulu;Mozambique
SEZ;Seychelles International Airport;Mahe;Seychelles
PRI;Praslin Airport;Praslin;Seychelles
NDJ;N'Djamena International Airport;N'djamena;Chad
BUQ;Joshua Mqabuko Nkomo International Airport;Bulawayo;Zimbabwe
VFA;Victoria Falls International Airport;Victoria Falls;Zimbabwe
HRE;Harare International Airport;Harare;Zimbabwe
BLZ;Chileka International Airport;Blantyre;Malawi
LLW;Lilongwe International Airport;Lilongwe;Malawi
MSU;Moshoeshoe I International Airport;Maseru;Lesotho
FIH;Ndjili International Airport;Kinshasa;Congo (Kinshasa)
MDK;Mbandaka Airport;Mbandaka;Congo (Kinshasa)
GMA;Gemena Airport;Gemena;Congo (Kinshasa)
FKI;Bangoka International Airport;Kisangani;Congo (Kinshasa)
IRP;Matari Airport;Isiro;Congo (Kinshasa)
BUX;Bunia Airport;Bunia;Congo (Kinshasa)
BKY;Bukavu Kavumu Airport;Bukavu/kavumu;Congo (Kinshasa)
GOM;Goma International Airport;Goma;Congo (Kinshasa)
KND;Kindu Airport;Kindu;Congo (Kinshasa)
FBM;Lubumbashi International Airport;Lubumashi;Congo (Kinshasa)
FMI;Kalemie Airport;Kalemie;Congo (Kinshasa)
KGA;Kananga Airport;Kananga;Congo (Kinshasa)
MJM;Mbuji Mayi Airport;Mbuji-mayi;Congo (Kinshasa)
BKO;Senou Airport;Bamako;Mali
BJL;Banjul International Airport;Banjul;Gambia
FUE;Fuerteventura Airport;Fuerteventura;Spain
VDE;Hierro Airport;Hierro;Spain
SPC;La Palma Airport;Santa Cruz De La Palma;Spain
LPA;Gran Canaria Airport;Gran Canaria;Spain
ACE;Lanzarote Airport;Arrecife;Spain
TFS;Tenerife South Airport;Tenerife;Spain
TFN;Tenerife Norte Airport;Tenerife;Spain
MLN;Melilla Airport;Melilla;Spain
FNA;Lungi International Airport;Freetown;Sierra Leone
MLW;Spriggs Payne Airport;Monrovia;Liberia
ROB;Roberts International Airport;Monrovia;Liberia
AGA;Al Massira Airport;Agadir;Morocco
TTA;Tan Tan Airport;Tan Tan;Morocco
FEZ;Saïss Airport;Fes;Morocco
OUD;Angads Airport;Oujda;Morocco
RBA;Rabat-Salé Airport;Rabat;Morocco
CMN;Mohammed V International Airport;Casablanca;Morocco
RAK;Menara Airport;Marrakech;Morocco
OZZ;Ouarzazate Airport;Ouarzazate;Morocco
AHU;Cherif Al Idrissi Airport;Al Hociema;Morocco
TTU;Saniat R'mel Airport;Tetouan;Morocco
TNG;Ibn Batouta Airport;Tanger;Morocco
ZIG;Ziguinchor Airport;Ziguinchor;Senegal
CSK;Cap Skirring Airport;Cap Skiring;Senegal
DKR;Léopold Sédar Senghor International Airport;Dakar;Senegal
NKC;Nouakchott International Airport;Nouakschott;Mauritania
NDB;Nouadhibou International Airport;Nouadhibou;Mauritania
SID;Amílcar Cabral International Airport;Amilcar Cabral;Cape Verde
BVC;Rabil Airport;Boa Vista;Cape Verde
MMO;Maio Airport;Maio;Cape Verde
SNE;Preguiça Airport;Sao Nocolau Island;Cape Verde
VXE;São Pedro Airport;Sao Vicente Island;Cape Verde
ADD;Addis Ababa Bole International Airport;Addis Ababa;Ethiopia
AMH;Arba Minch Airport;Arba Minch;Ethiopia
AXU;Axum Airport;Axum;Ethiopia
BJR;Bahir Dar Airport;Bahar Dar;Ethiopia
DIR;Aba Tenna Dejazmach Yilma International Airport;Dire Dawa;Ethiopia
GMB;Gambella Airport;Gambella;Ethiopia
GDQ;Gonder Airport;Gondar;Ethiopia
JIM;Jimma Airport;Jimma;Ethiopia
LLI;Lalibella Airport;Lalibella;Ethiopia
MQX;Mekele Airport;Makale;Ethiopia
ASO;Asosa Airport;Asosa;Ethiopia
BJM;Bujumbura International Airport;Bujumbura;Burundi
HGA;Egal International Airport;Hargeisa;Somalia
BBO;Berbera Airport;Berbera;Somalia
ABS;Abu Simbel Airport;Abu Simbel;Egypt
CAI;Cairo International Airport;Cairo;Egypt
HRG;Hurghada International Airport;Hurghada;Egypt
LXR;Luxor International Airport;Luxor;Egypt
ASW;Aswan International Airport;Aswan;Egypt
EDL;Eldoret International Airport;Eldoret;Kenya
KIS;Kisumu Airport;Kisumu;Kenya
